providerField,surface,observationCount,nonNullCount,nullRate,p50_dt_s,p95_dt_s,p99_dt_s,max_gap_s,ingress_p50_ms,ingress_p95_ms
obdEngineLoad,LATEST_LIVE,506,506,0.0000,1,3,9,151,428489,1097218
obdThrottlePosition,LATEST_LIVE,491,491,0.0000,1,4,13,151,438489,1103144
powertrainCombustionEngineSpeed,LATEST_LIVE,465,465,0.0000,1,4,14.5,151,446140,1109010
powertrainCombustionEngineTPS,LATEST_LIVE,495,495,0.0000,1,4,13,151,436489,1103144
speed,LATEST_LIVE,506,506,0.0000,1,3,9,151,428489,1097218
currentLocationAltitude,LATEST_SLOW,38,38,0.0000,0,33,56,56,540487,1186203
currentLocationCoordinates,LATEST_SLOW,38,38,0.0000,0,33,56,56,540487,1186203
currentLocationHeading,LATEST_SLOW,38,38,0.0000,0,33,56,56,540487,1186203
exteriorAirTemperature,LATEST_SLOW,38,38,0.0000,0,33,56,56,540487,1186203
isIgnitionOn,LATEST_SLOW,38,38,0.0000,0,33,56,56,540487,1186203
lowVoltageBatteryCurrentVoltage,LATEST_SLOW,38,38,0.0000,0,33,56,56,540487,1186203
obdBarometricPressure,LATEST_SLOW,38,38,0.0000,0,33,56,56,540487,1186203
obdDistanceWithMIL,LATEST_SLOW,38,38,0.0000,0,33,56,56,540487,1186203
obdFuelRailPressure,LATEST_SLOW,38,38,0.0000,0,33,56,56,540487,1186203
obdFuelTypeName,LATEST_SLOW,38,38,0.0000,0,33,56,56,540487,1186203
obdIntakeTemp,LATEST_SLOW,38,38,0.0000,0,33,56,56,540487,1186203
obdIsPluggedIn,LATEST_SLOW,38,38,0.0000,0,33,56,56,540487,1186203
obdLongTermFuelTrim1,LATEST_SLOW,38,38,0.0000,0,33,56,56,540487,1186203
obdLongTermFuelTrim2,LATEST_SLOW,38,38,0.0000,0,33,56,56,540487,1186203
obdMAP,LATEST_SLOW,38,38,0.0000,0,33,56,56,540487,1186203
obdMaxMAF,LATEST_SLOW,38,38,0.0000,0,33,56,56,540487,1186203
obdOilTemperature,LATEST_SLOW,38,38,0.0000,0,33,56,56,540487,1186203
obdRunTime,LATEST_SLOW,38,38,0.0000,0,33,56,56,540487,1186203
obdStatusDTCCount,LATEST_SLOW,38,38,0.0000,0,33,56,56,540487,1186203
powertrainCombustionEngineECT,LATEST_SLOW,38,38,0.0000,0,33,56,56,540487,1186203
powertrainFuelSystemAbsoluteLevel,LATEST_SLOW,38,38,0.0000,0,33,56,56,540487,1186203
powertrainFuelSystemRelativeLevel,LATEST_SLOW,38,38,0.0000,0,33,56,56,540487,1186203
powertrainTransmissionActualGear,LATEST_SLOW,38,38,0.0000,0,33,56,56,540487,1186203
powertrainTransmissionActualGearRatio,LATEST_SLOW,38,38,0.0000,0,33,56,56,540487,1186203
powertrainTransmissionTravelledDistance,LATEST_SLOW,38,38,0.0000,0,33,56,56,540487,1186203
powertrainType,LATEST_SLOW,38,38,0.0000,0,33,56,56,540487,1186203
