providerField,acquisitionSurface,observationCount,uniqueProviderTimestamps,positiveDeltaTSamples,p50_dt_s,p90_dt_s,p95_dt_s,p99_dt_s,max_gap_s,outOfOrderCount,outOfOrderRate,providerSampleAge_p50_ms,httpRequest_p50_ms,dynamicsClassification
obdEngineLoad,LATEST_LIVE,371,246,245,6,9,17,125,4253,0,0.000000,5789,260,DYNAMICALLY_INFORMATIVE
obdEngineLoad,HF_HISTORICAL,592,592,591,2,4.815,6.038,78.028,222.738,0,0.000000,6354,225,DYNAMICALLY_INFORMATIVE
obdThrottlePosition,LATEST_LIVE,371,235,234,6,11,23,125,4253,0,0.000000,6009,260,DYNAMICALLY_INFORMATIVE
obdThrottlePosition,HF_HISTORICAL,545,545,544,2,4.874,6.988,78.028,222.738,0,0.000000,6354,226,DYNAMICALLY_INFORMATIVE
powertrainCombustionEngineSpeed,LATEST_LIVE,371,229,228,6,11,23,125,4257,0,0.000000,6560,260,DYNAMICALLY_INFORMATIVE
powertrainCombustionEngineSpeed,HF_HISTORICAL,500,500,499,2,5.242,10.17,86.894,222.738,0,0.000000,6406,226,DYNAMICALLY_INFORMATIVE
powertrainCombustionEngineTPS,LATEST_LIVE,371,236,235,6,10,23,125,4253,0,0.000000,5956,260,DYNAMICALLY_INFORMATIVE
powertrainCombustionEngineTPS,HF_HISTORICAL,554,554,553,2,4.859,6.42,78.028,222.738,0,0.000000,6354,226,DYNAMICALLY_INFORMATIVE
speed,LATEST_LIVE,371,246,245,6,9,17,125,4253,0,0.000000,5789,260,DYNAMICALLY_INFORMATIVE
speed,HF_HISTORICAL,592,592,591,2,4.815,6.038,78.028,222.738,0,0.000000,6354,225,DYNAMICALLY_INFORMATIVE
currentLocationAltitude,LATEST_SLOW,62,51,50,36,87,132,4247,4247,0,0.000000,5421,240,DYNAMICALLY_INFORMATIVE
currentLocationCoordinates,LATEST_SLOW,62,51,50,36,87,132,4247,4247,0,0.000000,5421,240,NON_NUMERIC_CONTEXT
currentLocationHeading,LATEST_SLOW,62,51,50,36,87,132,4247,4247,0,0.000000,5421,240,DYNAMICALLY_INFORMATIVE
exteriorAirTemperature,LATEST_SLOW,62,50,49,36,107,132,4247,4247,0,0.000000,5538,240,DYNAMICALLY_INFORMATIVE
isIgnitionOn,LATEST_SLOW,62,51,50,36,87,132,4247,4247,0,0.000000,5421,240,DYNAMICALLY_INFORMATIVE
lowVoltageBatteryCurrentVoltage,LATEST_SLOW,62,51,50,36,87,132,4247,4247,0,0.000000,5421,240,DYNAMICALLY_INFORMATIVE
obdBarometricPressure,LATEST_SLOW,62,51,50,36,87,132,4247,4247,0,0.000000,5421,240,DYNAMICALLY_INFORMATIVE
obdDistanceWithMIL,LATEST_SLOW,62,51,50,36,87,132,4247,4247,0,0.000000,5421,240,STATIC_OR_CONTEXTUAL
obdFuelRailPressure,LATEST_SLOW,62,51,50,36,87,132,4247,4247,0,0.000000,5421,240,STATIC_OR_CONTEXTUAL
obdFuelTypeName,LATEST_SLOW,62,51,50,36,87,132,4247,4247,0,0.000000,5439,240,NON_NUMERIC_CONTEXT
obdIntakeTemp,LATEST_SLOW,62,51,50,36,87,132,4247,4247,0,0.000000,5421,240,DYNAMICALLY_INFORMATIVE
obdIsPluggedIn,LATEST_SLOW,62,51,50,36,87,132,4247,4247,0,0.000000,5421,240,STATIC_OR_CONTEXTUAL
obdLongTermFuelTrim1,LATEST_SLOW,62,51,50,36,87,132,4247,4247,0,0.000000,5421,240,DYNAMICALLY_INFORMATIVE
obdLongTermFuelTrim2,LATEST_SLOW,62,51,50,36,87,132,4247,4247,0,0.000000,5421,240,STATIC_OR_CONTEXTUAL
obdMAP,LATEST_SLOW,62,51,50,36,87,132,4247,4247,0,0.000000,5421,240,DYNAMICALLY_INFORMATIVE
obdMaxMAF,LATEST_SLOW,62,51,50,36,87,132,4247,4247,0,0.000000,5421,240,STATIC_OR_CONTEXTUAL
obdOilTemperature,LATEST_SLOW,62,51,50,36,87,132,4247,4247,0,0.000000,5421,240,DYNAMICALLY_INFORMATIVE
obdRunTime,LATEST_SLOW,62,51,50,36,87,132,4247,4247,0,0.000000,5439,240,DYNAMICALLY_INFORMATIVE
obdStatusDTCCount,LATEST_SLOW,62,51,50,36,87,132,4247,4247,0,0.000000,5421,240,STATIC_OR_CONTEXTUAL
powertrainCombustionEngineECT,LATEST_SLOW,62,50,49,36,107,132,4247,4247,0,0.000000,5538,240,DYNAMICALLY_INFORMATIVE
powertrainFuelSystemAbsoluteLevel,LATEST_SLOW,62,49,48,36,107,132,4247,4247,0,0.000000,5659,240,DYNAMICALLY_INFORMATIVE
powertrainFuelSystemRelativeLevel,LATEST_SLOW,62,50,49,36,107,132,4247,4247,0,0.000000,5538,240,DYNAMICALLY_INFORMATIVE
powertrainTransmissionActualGear,LATEST_SLOW,62,50,49,36,106,132,4247,4247,0,0.000000,5538,240,DYNAMICALLY_INFORMATIVE
powertrainTransmissionActualGearRatio,LATEST_SLOW,62,50,49,36,106,132,4247,4247,0,0.000000,5538,240,STATIC_OR_CONTEXTUAL
powertrainTransmissionTravelledDistance,LATEST_SLOW,62,51,50,36,87,132,4247,4247,0,0.000000,5421,240,DYNAMICALLY_INFORMATIVE
powertrainType,LATEST_SLOW,62,51,50,36,87,132,4247,4247,0,0.000000,5439,240,NON_NUMERIC_CONTEXT
