anonymizedVehicleId,signalName,window,firstSeen,lastSeen,sampleCount,medianCadenceSec,p95CadenceSec,maximumGapSec,invalidRate,sourceType,bindingContinuity,pluggedSamples,unpluggedSamples,usableForRecovery
VEHICLE_001,obdIsPluggedIn,60d,2026-05-19T10:31:34.502Z,2026-07-17T20:46:34.502Z,339,3600,86400,339300,0.0000,PHYSICAL_OBD_LTE_R1,tokenId_stable_no_episode_id,339,0,PARTIAL
VEHICLE_001,obdIsPluggedIn,14d,2026-07-04T11:01:34.502Z,2026-07-17T20:46:34.502Z,31,5400,87300,87300,0.0000,PHYSICAL_OBD_LTE_R1,tokenId_stable_no_episode_id,31,0,PARTIAL
VEHICLE_003,obdIsPluggedIn,60d,2026-05-19T10:01:34.502Z,2026-07-18T09:01:34.502Z,437,3600,63000,277200,0.0000,PHYSICAL_OBD_LTE_R1,tokenId_stable_no_episode_id,436,1,PARTIAL
VEHICLE_003,obdIsPluggedIn,14d,2026-07-05T08:16:34.502Z,2026-07-18T09:01:34.502Z,91,900,51300,87300,0.0000,PHYSICAL_OBD_LTE_R1,tokenId_stable_no_episode_id,91,0,PARTIAL
VEHICLE_004,obdIsPluggedIn,60d,2026-05-19T10:16:34.502Z,2026-07-18T09:46:34.502Z,297,900,74700,86400,0.0000,PHYSICAL_OBD_LTE_R1,tokenId_stable_no_episode_id,296,1,PARTIAL
VEHICLE_004,obdIsPluggedIn,14d,2026-07-04T19:16:34.502Z,2026-07-18T09:46:34.502Z,107,900,84600,86400,0.0000,PHYSICAL_OBD_LTE_R1,tokenId_stable_no_episode_id,107,0,PARTIAL
VEHICLE_005,obdIsPluggedIn,60d,2026-07-02T20:01:34.502Z,2026-07-18T09:31:34.502Z,61,900,86400,86400,0.0000,PHYSICAL_OBD_LTE_R1,tokenId_stable_no_episode_id,60,1,PARTIAL
VEHICLE_005,obdIsPluggedIn,14d,2026-07-04T13:31:34.502Z,2026-07-18T09:31:34.502Z,50,900,86400,86400,0.0000,PHYSICAL_OBD_LTE_R1,tokenId_stable_no_episode_id,49,1,PARTIAL
VEHICLE_005,obdIsPluggedIn,episode_recovery,2026-07-11T18:39:45Z,2026-07-12T00:02:45Z,2,19380,19380,19380,0.0000,PHYSICAL_OBD_LTE_R1,tokenId_stable_no_episode_id,1,1,YES
VEHICLE_006,obdIsPluggedIn,60d,2026-07-06T16:01:34.502Z,2026-07-18T09:46:34.502Z,110,900,50400,75600,0.0000,PHYSICAL_OBD_LTE_R1,tokenId_stable_no_episode_id,110,0,PARTIAL
VEHICLE_006,obdIsPluggedIn,14d,2026-07-06T16:01:34.502Z,2026-07-18T09:46:34.502Z,110,900,50400,75600,0.0000,PHYSICAL_OBD_LTE_R1,tokenId_stable_no_episode_id,110,0,PARTIAL
VEHICLE_006,obdIsPluggedIn,episode_recovery,2026-07-08T17:21:19Z,2026-07-09T17:20:49Z,224,30,90,43890,0.0000,PHYSICAL_OBD_LTE_R1,tokenId_stable_no_episode_id,224,0,PARTIAL
