domain,method,route,controller,handler,file,organizationGuard,permissionsGuard,rolesGuard,otherGuards,requiredPermission,rolesDecorator,hasOrgIdParam,resourceScopeHint,stationScopeEnforced,selfServiceException,masterAdminException,frontendVisibility,testCoverage,risk,riskReasons,notes
admin_platform,POST,/admin/changelogs,PlatformAdminController,createChangelog,modules/platform-admin/platform-admin.controller.ts,no,no,yes,,,'MASTER_ADMIN',no,platform,not_evaluated_per_handler,no,yes,unknown_static_scan,unknown_static_scan,OK,,Decorator-level scan only; service-layer assertMembershipPermission not detected
admin_platform,PUT,/admin/email/settings,PlatformEmailController,updateSettings,modules/outbound-email/platform-email.controller.ts,no,no,yes,,,'MASTER_ADMIN',no,platform,not_evaluated_per_handler,no,yes,unknown_static_scan,unknown_static_scan,OK,,Decorator-level scan only; service-layer assertMembershipPermission not detected
admin_platform,DELETE,/admin/products/:orgId/:productSlug,ProductsController,removeFromOrganization,modules/products/products.controller.ts,no,no,yes,,,'MASTER_ADMIN',yes,org_param,not_evaluated_per_handler,no,yes,unknown_static_scan,unknown_static_scan,OK,,Decorator-level scan only; service-layer assertMembershipPermission not detected
admin_platform,POST,/admin/products/assign,ProductsController,assignToOrganization,modules/products/products.controller.ts,no,no,yes,,,'MASTER_ADMIN',no,platform,not_evaluated_per_handler,no,yes,unknown_static_scan,unknown_static_scan,OK,,Decorator-level scan only; service-layer assertMembershipPermission not detected
admin_platform,POST,/admin/prospects,ProspectsController,create,modules/prospects/prospects.controller.ts,no,no,yes,,,'MASTER_ADMIN',no,platform,not_evaluated_per_handler,no,yes,unknown_static_scan,unknown_static_scan,OK,,Decorator-level scan only; service-layer assertMembershipPermission not detected
admin_platform,DELETE,/admin/prospects/:id,ProspectsController,delete,modules/prospects/prospects.controller.ts,no,no,yes,,,'MASTER_ADMIN',no,platform,not_evaluated_per_handler,no,yes,unknown_static_scan,unknown_static_scan,OK,,Decorator-level scan only; service-layer assertMembershipPermission not detected
admin_platform,PATCH,/admin/prospects/:id,ProspectsController,update,modules/prospects/prospects.controller.ts,no,no,yes,,,'MASTER_ADMIN',no,platform,not_evaluated_per_handler,no,yes,unknown_static_scan,unknown_static_scan,OK,,Decorator-level scan only; service-layer assertMembershipPermission not detected
admin_platform,POST,/admin/prospects/:id/convert,ProspectsController,convertToOrganization,modules/prospects/prospects.controller.ts,no,no,yes,,,'MASTER_ADMIN',no,platform,not_evaluated_per_handler,no,yes,unknown_static_scan,unknown_static_scan,OK,,Decorator-level scan only; service-layer assertMembershipPermission not detected
admin_platform,POST,/admin/prune,PlatformAdminController,pruneMasterData,modules/platform-admin/platform-admin.controller.ts,no,no,yes,,,'MASTER_ADMIN',no,platform,not_evaluated_per_handler,no,yes,unknown_static_scan,unknown_static_scan,OK,,Decorator-level scan only; service-layer assertMembershipPermission not detected
admin_platform,POST,/admin/trips/backfill-enrichment,PlatformAdminController,backfillTripEnrichment,modules/platform-admin/platform-admin.controller.ts,no,no,yes,,,'MASTER_ADMIN',no,platform,not_evaluated_per_handler,no,yes,unknown_static_scan,unknown_static_scan,OK,,Decorator-level scan only; service-layer assertMembershipPermission not detected
admin_platform,POST,/admin/vehicle-logbook/:vehicleId/disable,PlatformAdminController,disableLogbook,modules/platform-admin/platform-admin.controller.ts,no,no,yes,,,'MASTER_ADMIN',no,platform,not_evaluated_per_handler,no,yes,unknown_static_scan,unknown_static_scan,OK,,Decorator-level scan only; service-layer assertMembershipPermission not detected
admin_platform,POST,/admin/vehicle-logbook/:vehicleId/enable,PlatformAdminController,enableLogbook,modules/platform-admin/platform-admin.controller.ts,no,no,yes,,,'MASTER_ADMIN',no,platform,not_evaluated_per_handler,no,yes,unknown_static_scan,unknown_static_scan,OK,,Decorator-level scan only; service-layer assertMembershipPermission not detected
admin_platform,POST,/admin/voice-assistant/control-plane/organizations/:orgId/agent-deployment/deploy,VoiceControlPlaneAdminController,deployAgent,modules/voice-assistant/admin/voice-control-plane-admin.controller.ts,no,no,yes,,,'MASTER_ADMIN',yes,org_param,not_evaluated_per_handler,no,yes,unknown_static_scan,unknown_static_scan,OK,,Decorator-level scan only; service-layer assertMembershipPermission not detected
