metric,value
refreshTokensTotal,80
refreshTokensActive,70
refreshTokensRevoked,0
refreshTokensExpiredUnrevoked,10
familiesActive,70
tokensWithReplacedBy,0
familiesWithRotationEvidence,0
reuseDetectionEventsObservableInDb,not_directly_logged_as_rows
sessionMetadataHasIpFlagCount,80
sessionMetadataHasUaFlagCount,80
sessionsWithoutOrganizationBinding,80
activeSessionsForUsersWithoutActiveMembership,14
activeSessionsForSuspendedUsers,0
activeSessionsOlderThan90d,0
usersWithParallelActiveFamilies,2
passwordEventsObserved,89
suspendRemoveEventsObserved,0
activeSessionsSurvivingPasswordEventsTotal,1935
activeSessionsSurvivingSuspendRemoveEventsTotal,0
distinctUsersWithPasswordEventsAndSurvivingSessions,2
classification_USER_ONLY_SESSION_users,2
classification_REFRESH_ORG_DRIFT_RISK_users,0
masterAdminSessionsWithoutMembership,1
passwordEventSampleMaxSurvivingSessionsSingleEvent,53
revokedTokensObserved,0
rotationEvidenceTokensWithReplacedBy,0
