providerField,canonicalKey,acquisitionSurface,providerTimestamp,synqReceivedAt,requestStartedAt,requestCompletedAt,sequenceNumber,numericValue,rawValueJson,physicalSampleFingerprint,requestedInterval,requestedAggregation,aggregateBucketIdentity,hfWindowFrom,hfWindowTo,hfActualQueryTo,acquisitionOrdinal
powertrainTransmissionActualGearRatio,CAN_TRANSMISSION_GEAR_RATIO,LATEST_SLOW,2026-09-02T17:48:54.000Z,2026-09-02T18:59:16.641Z,2026-09-02T18:59:16.385Z,2026-09-02T18:59:16.641Z,29,0,"{""value"":0,""timestamp"":""2026-09-02T17:48:54Z""}",,,,,,,,10
powertrainTransmissionActualGearRatio,CAN_TRANSMISSION_GEAR_RATIO,LATEST_SLOW,2026-09-02T18:59:41.000Z,2026-09-02T18:59:46.481Z,2026-09-02T18:59:46.268Z,2026-09-02T18:59:46.481Z,80,0,"{""value"":0,""timestamp"":""2026-09-02T18:59:41Z""}",,,,,,,,41
powertrainTransmissionActualGearRatio,CAN_TRANSMISSION_GEAR_RATIO,LATEST_SLOW,2026-09-02T18:59:59.000Z,2026-09-02T19:00:22.882Z,2026-09-02T19:00:22.660Z,2026-09-02T19:00:22.882Z,166,0,"{""value"":0,""timestamp"":""2026-09-02T18:59:59Z""}",,,,,,,,107
powertrainTransmissionActualGearRatio,CAN_TRANSMISSION_GEAR_RATIO,LATEST_SLOW,2026-09-02T19:00:18.000Z,2026-09-02T19:00:58.296Z,2026-09-02T19:00:57.845Z,2026-09-02T19:00:58.296Z,222,0,"{""value"":0,""timestamp"":""2026-09-02T19:00:18Z""}",,,,,,,,143
powertrainTransmissionActualGearRatio,CAN_TRANSMISSION_GEAR_RATIO,LATEST_SLOW,2026-09-02T19:00:18.000Z,2026-09-02T19:01:34.331Z,2026-09-02T19:01:34.116Z,2026-09-02T19:01:34.331Z,278,0,"{""value"":0,""timestamp"":""2026-09-02T19:00:18Z""}",,,,,,,,179
powertrainTransmissionActualGearRatio,CAN_TRANSMISSION_GEAR_RATIO,LATEST_SLOW,2026-09-02T19:00:18.000Z,2026-09-02T19:02:09.526Z,2026-09-02T19:02:09.308Z,2026-09-02T19:02:09.526Z,334,0,"{""value"":0,""timestamp"":""2026-09-02T19:00:18Z""}",,,,,,,,215
powertrainTransmissionActualGearRatio,CAN_TRANSMISSION_GEAR_RATIO,LATEST_SLOW,2026-09-02T19:00:18.000Z,2026-09-02T19:02:45.453Z,2026-09-02T19:02:45.264Z,2026-09-02T19:02:45.453Z,390,0,"{""value"":0,""timestamp"":""2026-09-02T19:00:18Z""}",,,,,,,,251
powertrainTransmissionActualGearRatio,CAN_TRANSMISSION_GEAR_RATIO,LATEST_SLOW,2026-09-02T19:00:18.000Z,2026-09-02T19:03:21.260Z,2026-09-02T19:03:20.934Z,2026-09-02T19:03:21.260Z,446,0,"{""value"":0,""timestamp"":""2026-09-02T19:00:18Z""}",,,,,,,,287
powertrainTransmissionActualGearRatio,CAN_TRANSMISSION_GEAR_RATIO,LATEST_SLOW,2026-09-02T19:03:54.000Z,2026-09-02T19:03:57.535Z,2026-09-02T19:03:57.321Z,2026-09-02T19:03:57.535Z,532,0,"{""value"":0,""timestamp"":""2026-09-02T19:03:54Z""}",,,,,,,,353
powertrainTransmissionActualGearRatio,CAN_TRANSMISSION_GEAR_RATIO,LATEST_SLOW,2026-09-02T19:04:23.000Z,2026-09-02T19:04:32.734Z,2026-09-02T19:04:32.536Z,2026-09-02T19:04:32.734Z,622,0,"{""value"":0,""timestamp"":""2026-09-02T19:04:23Z""}",,,,,,,,423
powertrainTransmissionActualGearRatio,CAN_TRANSMISSION_GEAR_RATIO,LATEST_SLOW,2026-09-02T19:04:54.000Z,2026-09-02T19:05:08.829Z,2026-09-02T19:05:08.607Z,2026-09-02T19:05:08.829Z,702,0,"{""value"":0,""timestamp"":""2026-09-02T19:04:54Z""}",,,,,,,,483
powertrainTransmissionActualGearRatio,CAN_TRANSMISSION_GEAR_RATIO,LATEST_SLOW,2026-09-02T19:05:40.000Z,2026-09-02T19:05:44.349Z,2026-09-02T19:05:44.134Z,2026-09-02T19:05:44.349Z,816,0,"{""value"":0,""timestamp"":""2026-09-02T19:05:40Z""}",,,,,,,,577
powertrainTransmissionActualGearRatio,CAN_TRANSMISSION_GEAR_RATIO,LATEST_SLOW,2026-09-02T19:06:06.000Z,2026-09-02T19:06:20.847Z,2026-09-02T19:06:20.617Z,2026-09-02T19:06:20.847Z,936,0,"{""value"":0,""timestamp"":""2026-09-02T19:06:06Z""}",,,,,,,,677
powertrainTransmissionActualGearRatio,CAN_TRANSMISSION_GEAR_RATIO,LATEST_SLOW,2026-09-02T19:06:52.000Z,2026-09-02T19:06:57.992Z,2026-09-02T19:06:57.793Z,2026-09-02T19:06:57.992Z,1037,0,"{""value"":0,""timestamp"":""2026-09-02T19:06:52Z""}",,,,,,,,758
powertrainTransmissionActualGearRatio,CAN_TRANSMISSION_GEAR_RATIO,LATEST_SLOW,2026-09-02T19:07:29.000Z,2026-09-02T19:07:33.582Z,2026-09-02T19:07:33.352Z,2026-09-02T19:07:33.582Z,1183,0,"{""value"":0,""timestamp"":""2026-09-02T19:07:29Z""}",,,,,,,,884
powertrainTransmissionActualGearRatio,CAN_TRANSMISSION_GEAR_RATIO,LATEST_SLOW,2026-09-02T19:08:04.000Z,2026-09-02T19:08:09.538Z,2026-09-02T19:08:09.311Z,2026-09-02T19:08:09.538Z,1334,0,"{""value"":0,""timestamp"":""2026-09-02T19:08:04Z""}",,,,,,,,1015
powertrainTransmissionActualGearRatio,CAN_TRANSMISSION_GEAR_RATIO,LATEST_SLOW,2026-09-02T19:08:39.000Z,2026-09-02T19:08:47.060Z,2026-09-02T19:08:46.805Z,2026-09-02T19:08:47.060Z,1435,0,"{""value"":0,""timestamp"":""2026-09-02T19:08:39Z""}",,,,,,,,1096
powertrainTransmissionActualGearRatio,CAN_TRANSMISSION_GEAR_RATIO,LATEST_SLOW,2026-09-02T19:08:39.000Z,2026-09-02T19:09:32.232Z,2026-09-02T19:09:32.037Z,2026-09-02T19:09:32.232Z,1491,0,"{""value"":0,""timestamp"":""2026-09-02T19:08:39Z""}",,,,,,,,1132
powertrainTransmissionActualGearRatio,CAN_TRANSMISSION_GEAR_RATIO,LATEST_SLOW,2026-09-02T19:10:04.000Z,2026-09-02T19:10:08.197Z,2026-09-02T19:10:07.927Z,2026-09-02T19:10:08.197Z,1562,0,"{""value"":0,""timestamp"":""2026-09-02T19:10:04Z""}",,,,,,,,1183
powertrainTransmissionActualGearRatio,CAN_TRANSMISSION_GEAR_RATIO,LATEST_SLOW,2026-09-02T19:10:39.000Z,2026-09-02T19:10:43.701Z,2026-09-02T19:10:43.169Z,2026-09-02T19:10:43.701Z,1693,0,"{""value"":0,""timestamp"":""2026-09-02T19:10:39Z""}",,,,,,,,1294
powertrainTransmissionActualGearRatio,CAN_TRANSMISSION_GEAR_RATIO,LATEST_SLOW,2026-09-02T19:11:15.000Z,2026-09-02T19:11:19.133Z,2026-09-02T19:11:18.865Z,2026-09-02T19:11:19.133Z,1844,0,"{""value"":0,""timestamp"":""2026-09-02T19:11:15Z""}",,,,,,,,1425
powertrainTransmissionActualGearRatio,CAN_TRANSMISSION_GEAR_RATIO,LATEST_SLOW,2026-09-02T19:11:51.000Z,2026-09-02T19:11:55.135Z,2026-09-02T19:11:54.807Z,2026-09-02T19:11:55.135Z,1975,0,"{""value"":0,""timestamp"":""2026-09-02T19:11:51Z""}",,,,,,,,1536
