providerField,canonicalKey,acquisitionSurface,providerTimestamp,synqReceivedAt,requestStartedAt,requestCompletedAt,sequenceNumber,numericValue,rawValueJson,physicalSampleFingerprint,requestedInterval,requestedAggregation,aggregateBucketIdentity,hfWindowFrom,hfWindowTo,hfActualQueryTo,acquisitionOrdinal
powertrainTransmissionActualGear,CAN_TRANSMISSION_ACTUAL_GEAR,LATEST_SLOW,2026-09-02T17:48:54.000Z,2026-09-02T18:59:16.641Z,2026-09-02T18:59:16.385Z,2026-09-02T18:59:16.641Z,28,2,"{""value"":2,""timestamp"":""2026-09-02T17:48:54Z""}",,,,,,,,9
powertrainTransmissionActualGear,CAN_TRANSMISSION_ACTUAL_GEAR,LATEST_SLOW,2026-09-02T18:59:41.000Z,2026-09-02T18:59:46.481Z,2026-09-02T18:59:46.268Z,2026-09-02T18:59:46.481Z,79,2,"{""value"":2,""timestamp"":""2026-09-02T18:59:41Z""}",,,,,,,,40
powertrainTransmissionActualGear,CAN_TRANSMISSION_ACTUAL_GEAR,LATEST_SLOW,2026-09-02T18:59:59.000Z,2026-09-02T19:00:22.882Z,2026-09-02T19:00:22.660Z,2026-09-02T19:00:22.882Z,165,1,"{""value"":1,""timestamp"":""2026-09-02T18:59:59Z""}",,,,,,,,106
powertrainTransmissionActualGear,CAN_TRANSMISSION_ACTUAL_GEAR,LATEST_SLOW,2026-09-02T19:00:18.000Z,2026-09-02T19:00:58.296Z,2026-09-02T19:00:57.845Z,2026-09-02T19:00:58.296Z,221,1,"{""value"":1,""timestamp"":""2026-09-02T19:00:18Z""}",,,,,,,,142
powertrainTransmissionActualGear,CAN_TRANSMISSION_ACTUAL_GEAR,LATEST_SLOW,2026-09-02T19:00:18.000Z,2026-09-02T19:01:34.331Z,2026-09-02T19:01:34.116Z,2026-09-02T19:01:34.331Z,277,1,"{""value"":1,""timestamp"":""2026-09-02T19:00:18Z""}",,,,,,,,178
powertrainTransmissionActualGear,CAN_TRANSMISSION_ACTUAL_GEAR,LATEST_SLOW,2026-09-02T19:00:18.000Z,2026-09-02T19:02:09.526Z,2026-09-02T19:02:09.308Z,2026-09-02T19:02:09.526Z,333,1,"{""value"":1,""timestamp"":""2026-09-02T19:00:18Z""}",,,,,,,,214
powertrainTransmissionActualGear,CAN_TRANSMISSION_ACTUAL_GEAR,LATEST_SLOW,2026-09-02T19:00:18.000Z,2026-09-02T19:02:45.453Z,2026-09-02T19:02:45.264Z,2026-09-02T19:02:45.453Z,389,1,"{""value"":1,""timestamp"":""2026-09-02T19:00:18Z""}",,,,,,,,250
powertrainTransmissionActualGear,CAN_TRANSMISSION_ACTUAL_GEAR,LATEST_SLOW,2026-09-02T19:00:18.000Z,2026-09-02T19:03:21.260Z,2026-09-02T19:03:20.934Z,2026-09-02T19:03:21.260Z,445,1,"{""value"":1,""timestamp"":""2026-09-02T19:00:18Z""}",,,,,,,,286
powertrainTransmissionActualGear,CAN_TRANSMISSION_ACTUAL_GEAR,LATEST_SLOW,2026-09-02T19:03:54.000Z,2026-09-02T19:03:57.535Z,2026-09-02T19:03:57.321Z,2026-09-02T19:03:57.535Z,531,6,"{""value"":6,""timestamp"":""2026-09-02T19:03:54Z""}",,,,,,,,352
powertrainTransmissionActualGear,CAN_TRANSMISSION_ACTUAL_GEAR,LATEST_SLOW,2026-09-02T19:04:23.000Z,2026-09-02T19:04:32.734Z,2026-09-02T19:04:32.536Z,2026-09-02T19:04:32.734Z,621,3,"{""value"":3,""timestamp"":""2026-09-02T19:04:23Z""}",,,,,,,,422
powertrainTransmissionActualGear,CAN_TRANSMISSION_ACTUAL_GEAR,LATEST_SLOW,2026-09-02T19:04:54.000Z,2026-09-02T19:05:08.829Z,2026-09-02T19:05:08.607Z,2026-09-02T19:05:08.829Z,701,5,"{""value"":5,""timestamp"":""2026-09-02T19:04:54Z""}",,,,,,,,482
powertrainTransmissionActualGear,CAN_TRANSMISSION_ACTUAL_GEAR,LATEST_SLOW,2026-09-02T19:05:40.000Z,2026-09-02T19:05:44.349Z,2026-09-02T19:05:44.134Z,2026-09-02T19:05:44.349Z,815,2,"{""value"":2,""timestamp"":""2026-09-02T19:05:40Z""}",,,,,,,,576
powertrainTransmissionActualGear,CAN_TRANSMISSION_ACTUAL_GEAR,LATEST_SLOW,2026-09-02T19:06:06.000Z,2026-09-02T19:06:20.847Z,2026-09-02T19:06:20.617Z,2026-09-02T19:06:20.847Z,935,2,"{""value"":2,""timestamp"":""2026-09-02T19:06:06Z""}",,,,,,,,676
powertrainTransmissionActualGear,CAN_TRANSMISSION_ACTUAL_GEAR,LATEST_SLOW,2026-09-02T19:06:52.000Z,2026-09-02T19:06:57.992Z,2026-09-02T19:06:57.793Z,2026-09-02T19:06:57.992Z,1036,5,"{""value"":5,""timestamp"":""2026-09-02T19:06:52Z""}",,,,,,,,757
powertrainTransmissionActualGear,CAN_TRANSMISSION_ACTUAL_GEAR,LATEST_SLOW,2026-09-02T19:07:29.000Z,2026-09-02T19:07:33.582Z,2026-09-02T19:07:33.352Z,2026-09-02T19:07:33.582Z,1182,0,"{""value"":0,""timestamp"":""2026-09-02T19:07:29Z""}",,,,,,,,883
powertrainTransmissionActualGear,CAN_TRANSMISSION_ACTUAL_GEAR,LATEST_SLOW,2026-09-02T19:08:04.000Z,2026-09-02T19:08:09.538Z,2026-09-02T19:08:09.311Z,2026-09-02T19:08:09.538Z,1333,4,"{""value"":4,""timestamp"":""2026-09-02T19:08:04Z""}",,,,,,,,1014
powertrainTransmissionActualGear,CAN_TRANSMISSION_ACTUAL_GEAR,LATEST_SLOW,2026-09-02T19:08:39.000Z,2026-09-02T19:08:47.060Z,2026-09-02T19:08:46.805Z,2026-09-02T19:08:47.060Z,1434,3,"{""value"":3,""timestamp"":""2026-09-02T19:08:39Z""}",,,,,,,,1095
powertrainTransmissionActualGear,CAN_TRANSMISSION_ACTUAL_GEAR,LATEST_SLOW,2026-09-02T19:08:39.000Z,2026-09-02T19:09:32.232Z,2026-09-02T19:09:32.037Z,2026-09-02T19:09:32.232Z,1490,3,"{""value"":3,""timestamp"":""2026-09-02T19:08:39Z""}",,,,,,,,1131
powertrainTransmissionActualGear,CAN_TRANSMISSION_ACTUAL_GEAR,LATEST_SLOW,2026-09-02T19:10:04.000Z,2026-09-02T19:10:08.197Z,2026-09-02T19:10:07.927Z,2026-09-02T19:10:08.197Z,1561,4,"{""value"":4,""timestamp"":""2026-09-02T19:10:04Z""}",,,,,,,,1182
powertrainTransmissionActualGear,CAN_TRANSMISSION_ACTUAL_GEAR,LATEST_SLOW,2026-09-02T19:10:39.000Z,2026-09-02T19:10:43.701Z,2026-09-02T19:10:43.169Z,2026-09-02T19:10:43.701Z,1692,1,"{""value"":1,""timestamp"":""2026-09-02T19:10:39Z""}",,,,,,,,1293
powertrainTransmissionActualGear,CAN_TRANSMISSION_ACTUAL_GEAR,LATEST_SLOW,2026-09-02T19:11:15.000Z,2026-09-02T19:11:19.133Z,2026-09-02T19:11:18.865Z,2026-09-02T19:11:19.133Z,1843,2,"{""value"":2,""timestamp"":""2026-09-02T19:11:15Z""}",,,,,,,,1424
powertrainTransmissionActualGear,CAN_TRANSMISSION_ACTUAL_GEAR,LATEST_SLOW,2026-09-02T19:11:51.000Z,2026-09-02T19:11:55.135Z,2026-09-02T19:11:54.807Z,2026-09-02T19:11:55.135Z,1974,1,"{""value"":1,""timestamp"":""2026-09-02T19:11:51Z""}",,,,,,,,1535
powertrainTransmissionActualGear,CAN_TRANSMISSION_ACTUAL_GEAR,LATEST_SLOW,2026-09-02T19:12:28.000Z,2026-09-02T19:12:31.472Z,2026-09-02T19:12:31.123Z,2026-09-02T19:12:31.472Z,2085,3,"{""value"":3,""timestamp"":""2026-09-02T19:12:28Z""}",,,,,,,,1626
powertrainTransmissionActualGear,CAN_TRANSMISSION_ACTUAL_GEAR,LATEST_SLOW,2026-09-02T19:13:02.000Z,2026-09-02T19:13:06.673Z,2026-09-02T19:13:06.352Z,2026-09-02T19:13:06.673Z,2196,2,"{""value"":2,""timestamp"":""2026-09-02T19:13:02Z""}",,,,,,,,1717
powertrainTransmissionActualGear,CAN_TRANSMISSION_ACTUAL_GEAR,LATEST_SLOW,2026-09-02T19:13:37.000Z,2026-09-02T19:13:41.943Z,2026-09-02T19:13:41.751Z,2026-09-02T19:13:41.943Z,2277,1,"{""value"":1,""timestamp"":""2026-09-02T19:13:37Z""}",,,,,,,,1778
powertrainTransmissionActualGear,CAN_TRANSMISSION_ACTUAL_GEAR,LATEST_SLOW,2026-09-02T19:14:12.000Z,2026-09-02T19:14:20.603Z,2026-09-02T19:14:20.303Z,2026-09-02T19:14:20.603Z,2383,1,"{""value"":1,""timestamp"":""2026-09-02T19:14:12Z""}",,,,,,,,1864
powertrainTransmissionActualGear,CAN_TRANSMISSION_ACTUAL_GEAR,LATEST_SLOW,2026-09-02T19:14:12.000Z,2026-09-02T19:14:55.641Z,2026-09-02T19:14:55.369Z,2026-09-02T19:14:55.641Z,2441,1,"{""value"":1,""timestamp"":""2026-09-02T19:14:12Z""}",,,,,,,,1902
powertrainTransmissionActualGear,CAN_TRANSMISSION_ACTUAL_GEAR,LATEST_SLOW,2026-09-02T19:14:12.000Z,2026-09-02T19:15:31.491Z,2026-09-02T19:15:31.124Z,2026-09-02T19:15:31.491Z,2497,1,"{""value"":1,""timestamp"":""2026-09-02T19:14:12Z""}",,,,,,,,1938
powertrainTransmissionActualGear,CAN_TRANSMISSION_ACTUAL_GEAR,LATEST_SLOW,2026-09-02T19:15:58.000Z,2026-09-02T19:16:06.757Z,2026-09-02T19:16:06.506Z,2026-09-02T19:16:06.757Z,2562,1,"{""value"":1,""timestamp"":""2026-09-02T19:15:58Z""}",,,,,,,,1983
powertrainTransmissionActualGear,CAN_TRANSMISSION_ACTUAL_GEAR,LATEST_SLOW,2026-09-02T19:16:37.000Z,2026-09-02T19:16:42.439Z,2026-09-02T19:16:42.215Z,2026-09-02T19:16:42.439Z,2672,2,"{""value"":2,""timestamp"":""2026-09-02T19:16:37Z""}",,,,,,,,2073
powertrainTransmissionActualGear,CAN_TRANSMISSION_ACTUAL_GEAR,LATEST_SLOW,2026-09-02T19:17:15.000Z,2026-09-02T19:17:18.910Z,2026-09-02T19:17:18.604Z,2026-09-02T19:17:18.910Z,2787,3,"{""value"":3,""timestamp"":""2026-09-02T19:17:15Z""}",,,,,,,,2168
