providerField,canonicalKey,acquisitionSurface,providerTimestamp,synqReceivedAt,requestStartedAt,requestCompletedAt,sequenceNumber,numericValue,rawValueJson,physicalSampleFingerprint,requestedInterval,requestedAggregation,aggregateBucketIdentity,hfWindowFrom,hfWindowTo,hfActualQueryTo,acquisitionOrdinal
obdEngineLoad,CAN_ENGINE_LOAD,LATEST_LIVE,2026-09-02T17:48:54.000Z,2026-09-02T18:59:15.949Z,2026-09-02T18:59:15.730Z,2026-09-02T18:59:15.949Z,1,0,"{""value"":0,""timestamp"":""2026-09-02T17:48:54Z""}",,,,,,,,1
obdEngineLoad,CAN_ENGINE_LOAD,LATEST_LIVE,2026-09-02T17:48:54.000Z,2026-09-02T18:59:22.101Z,2026-09-02T18:59:21.772Z,2026-09-02T18:59:22.101Z,32,0,"{""value"":0,""timestamp"":""2026-09-02T17:48:54Z""}",,,,,,,,12
obdEngineLoad,CAN_ENGINE_LOAD,LATEST_LIVE,2026-09-02T17:48:54.000Z,2026-09-02T18:59:28.041Z,2026-09-02T18:59:27.805Z,2026-09-02T18:59:28.041Z,37,0,"{""value"":0,""timestamp"":""2026-09-02T17:48:54Z""}",,,,,,,,17
obdEngineLoad,CAN_ENGINE_LOAD,LATEST_LIVE,2026-09-02T17:48:54.000Z,2026-09-02T18:59:34.101Z,2026-09-02T18:59:33.640Z,2026-09-02T18:59:34.101Z,42,0,"{""value"":0,""timestamp"":""2026-09-02T17:48:54Z""}",,,,,,,,22
obdEngineLoad,CAN_ENGINE_LOAD,LATEST_LIVE,2026-09-02T17:48:54.000Z,2026-09-02T18:59:39.958Z,2026-09-02T18:59:39.672Z,2026-09-02T18:59:39.958Z,47,0,"{""value"":0,""timestamp"":""2026-09-02T17:48:54Z""}",,,,,,,,27
obdEngineLoad,CAN_ENGINE_LOAD,LATEST_LIVE,2026-09-02T17:48:54.000Z,2026-09-02T18:59:45.643Z,2026-09-02T18:59:45.415Z,2026-09-02T18:59:45.643Z,52,0,"{""value"":0,""timestamp"":""2026-09-02T17:48:54Z""}",,,,,,,,32
obdEngineLoad,CAN_ENGINE_LOAD,LATEST_LIVE,2026-09-02T18:59:47.000Z,2026-09-02T18:59:51.860Z,2026-09-02T18:59:51.544Z,2026-09-02T18:59:51.860Z,83,24.70588235294118,"{""value"":24.70588235294118,""timestamp"":""2026-09-02T18:59:47Z""}",,,,,,,,43
obdEngineLoad,CAN_ENGINE_LOAD,HF_HISTORICAL,2026-09-02T18:59:45.646Z,2026-09-02T18:59:52.125Z,2026-09-02T18:59:51.863Z,2026-09-02T18:59:52.125Z,88,0,0,80ef109472d2cb3566f0e21fa80c70641a5e9aae76e032819ac0dfee6d454bfc,1s,AVG,80ef109472d2cb3566f0e21fa80c70641a5e9aae76e032819ac0dfee6d454bfc,2026-09-02T18:59:43.646Z,2026-09-02T18:59:51.863Z,2026-09-02T18:59:51.863Z,48
obdEngineLoad,CAN_ENGINE_LOAD,HF_HISTORICAL,2026-09-02T18:59:46.646Z,2026-09-02T18:59:52.125Z,2026-09-02T18:59:51.863Z,2026-09-02T18:59:52.125Z,93,24.70588235294118,24.70588235294118,cf96727d6ec90b8ab0ecc25113c2f1930a6797c359458b498cdfc0c453c52be7,1s,AVG,cf96727d6ec90b8ab0ecc25113c2f1930a6797c359458b498cdfc0c453c52be7,2026-09-02T18:59:43.646Z,2026-09-02T18:59:51.863Z,2026-09-02T18:59:51.863Z,53
obdEngineLoad,CAN_ENGINE_LOAD,LATEST_LIVE,2026-09-02T18:59:53.000Z,2026-09-02T18:59:57.781Z,2026-09-02T18:59:57.480Z,2026-09-02T18:59:57.781Z,98,25.09803921568627,"{""value"":25.09803921568627,""timestamp"":""2026-09-02T18:59:53Z""}",,,,,,,,58
