providerField,canonicalKey,acquisitionSurface,providerTimestamp,synqReceivedAt,requestStartedAt,requestCompletedAt,sequenceNumber,numericValue,rawValueJson,physicalSampleFingerprint,requestedInterval,requestedAggregation,aggregateBucketIdentity,hfWindowFrom,hfWindowTo,hfActualQueryTo,acquisitionOrdinal
powertrainCombustionEngineSpeed,CAN_ENGINE_RPM,LATEST_LIVE,2026-09-02T17:48:50.000Z,2026-09-02T18:59:15.949Z,2026-09-02T18:59:15.730Z,2026-09-02T18:59:15.949Z,3,1831,"{""value"":1831,""timestamp"":""2026-09-02T17:48:50Z""}",,,,,,,,3
powertrainCombustionEngineSpeed,CAN_ENGINE_RPM,LATEST_LIVE,2026-09-02T17:48:50.000Z,2026-09-02T18:59:22.101Z,2026-09-02T18:59:21.772Z,2026-09-02T18:59:22.101Z,34,1831,"{""value"":1831,""timestamp"":""2026-09-02T17:48:50Z""}",,,,,,,,14
powertrainCombustionEngineSpeed,CAN_ENGINE_RPM,LATEST_LIVE,2026-09-02T17:48:50.000Z,2026-09-02T18:59:28.041Z,2026-09-02T18:59:27.805Z,2026-09-02T18:59:28.041Z,39,1831,"{""value"":1831,""timestamp"":""2026-09-02T17:48:50Z""}",,,,,,,,19
powertrainCombustionEngineSpeed,CAN_ENGINE_RPM,LATEST_LIVE,2026-09-02T17:48:50.000Z,2026-09-02T18:59:34.101Z,2026-09-02T18:59:33.640Z,2026-09-02T18:59:34.101Z,44,1831,"{""value"":1831,""timestamp"":""2026-09-02T17:48:50Z""}",,,,,,,,24
powertrainCombustionEngineSpeed,CAN_ENGINE_RPM,LATEST_LIVE,2026-09-02T17:48:50.000Z,2026-09-02T18:59:39.958Z,2026-09-02T18:59:39.672Z,2026-09-02T18:59:39.958Z,49,1831,"{""value"":1831,""timestamp"":""2026-09-02T17:48:50Z""}",,,,,,,,29
powertrainCombustionEngineSpeed,CAN_ENGINE_RPM,LATEST_LIVE,2026-09-02T17:48:50.000Z,2026-09-02T18:59:45.643Z,2026-09-02T18:59:45.415Z,2026-09-02T18:59:45.643Z,54,1831,"{""value"":1831,""timestamp"":""2026-09-02T17:48:50Z""}",,,,,,,,34
powertrainCombustionEngineSpeed,CAN_ENGINE_RPM,LATEST_LIVE,2026-09-02T18:59:47.000Z,2026-09-02T18:59:51.860Z,2026-09-02T18:59:51.544Z,2026-09-02T18:59:51.860Z,85,927,"{""value"":927,""timestamp"":""2026-09-02T18:59:47Z""}",,,,,,,,45
powertrainCombustionEngineSpeed,CAN_ENGINE_RPM,HF_HISTORICAL,2026-09-02T18:59:45.646Z,2026-09-02T18:59:52.125Z,2026-09-02T18:59:51.863Z,2026-09-02T18:59:52.125Z,90,930,930,1d724cca7dd4684d701b752405fbcbefc7919d985e65488d59069560a071555e,1s,AVG,1d724cca7dd4684d701b752405fbcbefc7919d985e65488d59069560a071555e,2026-09-02T18:59:43.646Z,2026-09-02T18:59:51.863Z,2026-09-02T18:59:51.863Z,50
powertrainCombustionEngineSpeed,CAN_ENGINE_RPM,HF_HISTORICAL,2026-09-02T18:59:46.646Z,2026-09-02T18:59:52.125Z,2026-09-02T18:59:51.863Z,2026-09-02T18:59:52.125Z,95,927,927,f71b4a4fe2ffe030558c50fbceda6fd8a7db3ace66f2cd978cbd15e318abceda,1s,AVG,f71b4a4fe2ffe030558c50fbceda6fd8a7db3ace66f2cd978cbd15e318abceda,2026-09-02T18:59:43.646Z,2026-09-02T18:59:51.863Z,2026-09-02T18:59:51.863Z,55
powertrainCombustionEngineSpeed,CAN_ENGINE_RPM,LATEST_LIVE,2026-09-02T18:59:53.000Z,2026-09-02T18:59:57.781Z,2026-09-02T18:59:57.480Z,2026-09-02T18:59:57.781Z,100,930,"{""value"":930,""timestamp"":""2026-09-02T18:59:53Z""}",,,,,,,,60
powertrainCombustionEngineSpeed,CAN_ENGINE_RPM,HF_HISTORICAL,2026-09-02T18:59:49.863Z,2026-09-02T18:59:58.032Z,2026-09-02T18:59:57.784Z,2026-09-02T18:59:58.032Z,105,930,930,ebca26029fec97c1d7dc0ce3aea107427e56a5f687ded7b375fdcc738cab7c1b,1s,AVG,ebca26029fec97c1d7dc0ce3aea107427e56a5f687ded7b375fdcc738cab7c1b,2026-09-02T18:59:49.863Z,2026-09-02T18:59:57.784Z,2026-09-02T18:59:57.784Z,65
