providerField,canonicalKey,acquisitionSurface,providerTimestamp,synqReceivedAt,requestStartedAt,requestCompletedAt,sequenceNumber,numericValue,rawValueJson,physicalSampleFingerprint,requestedInterval,requestedAggregation,aggregateBucketIdentity,hfWindowFrom,hfWindowTo,hfActualQueryTo,acquisitionOrdinal
speed,CAN_VEHICLE_SPEED,LATEST_LIVE,2026-09-02T17:48:54.000Z,2026-09-02T18:59:15.949Z,2026-09-02T18:59:15.730Z,2026-09-02T18:59:15.949Z,5,13,"{""value"":13,""timestamp"":""2026-09-02T17:48:54Z""}",,,,,,,,5
speed,CAN_VEHICLE_SPEED,LATEST_LIVE,2026-09-02T17:48:54.000Z,2026-09-02T18:59:22.101Z,2026-09-02T18:59:21.772Z,2026-09-02T18:59:22.101Z,36,13,"{""value"":13,""timestamp"":""2026-09-02T17:48:54Z""}",,,,,,,,16
speed,CAN_VEHICLE_SPEED,LATEST_LIVE,2026-09-02T17:48:54.000Z,2026-09-02T18:59:28.041Z,2026-09-02T18:59:27.805Z,2026-09-02T18:59:28.041Z,41,13,"{""value"":13,""timestamp"":""2026-09-02T17:48:54Z""}",,,,,,,,21
speed,CAN_VEHICLE_SPEED,LATEST_LIVE,2026-09-02T17:48:54.000Z,2026-09-02T18:59:34.101Z,2026-09-02T18:59:33.640Z,2026-09-02T18:59:34.101Z,46,13,"{""value"":13,""timestamp"":""2026-09-02T17:48:54Z""}",,,,,,,,26
speed,CAN_VEHICLE_SPEED,LATEST_LIVE,2026-09-02T17:48:54.000Z,2026-09-02T18:59:39.958Z,2026-09-02T18:59:39.672Z,2026-09-02T18:59:39.958Z,51,13,"{""value"":13,""timestamp"":""2026-09-02T17:48:54Z""}",,,,,,,,31
speed,CAN_VEHICLE_SPEED,LATEST_LIVE,2026-09-02T17:48:54.000Z,2026-09-02T18:59:45.643Z,2026-09-02T18:59:45.415Z,2026-09-02T18:59:45.643Z,56,13,"{""value"":13,""timestamp"":""2026-09-02T17:48:54Z""}",,,,,,,,36
speed,CAN_VEHICLE_SPEED,LATEST_LIVE,2026-09-02T18:59:47.000Z,2026-09-02T18:59:51.860Z,2026-09-02T18:59:51.544Z,2026-09-02T18:59:51.860Z,87,0,"{""value"":0,""timestamp"":""2026-09-02T18:59:47Z""}",,,,,,,,47
speed,CAN_VEHICLE_SPEED,HF_HISTORICAL,2026-09-02T18:59:45.646Z,2026-09-02T18:59:52.125Z,2026-09-02T18:59:51.863Z,2026-09-02T18:59:52.125Z,92,0,0,3733e0974bac7e1cfcf2d6c933ed1463b2699a1919af2427800fcd8358700133,1s,AVG,3733e0974bac7e1cfcf2d6c933ed1463b2699a1919af2427800fcd8358700133,2026-09-02T18:59:43.646Z,2026-09-02T18:59:51.863Z,2026-09-02T18:59:51.863Z,52
speed,CAN_VEHICLE_SPEED,HF_HISTORICAL,2026-09-02T18:59:46.646Z,2026-09-02T18:59:52.125Z,2026-09-02T18:59:51.863Z,2026-09-02T18:59:52.125Z,97,0,0,69a0d2934cbb05e6555b2d08d0c2b7bc5a1f0c68df0d4b0a6817e8998c5120eb,1s,AVG,69a0d2934cbb05e6555b2d08d0c2b7bc5a1f0c68df0d4b0a6817e8998c5120eb,2026-09-02T18:59:43.646Z,2026-09-02T18:59:51.863Z,2026-09-02T18:59:51.863Z,57
speed,CAN_VEHICLE_SPEED,LATEST_LIVE,2026-09-02T18:59:53.000Z,2026-09-02T18:59:57.781Z,2026-09-02T18:59:57.480Z,2026-09-02T18:59:57.781Z,102,0,"{""value"":0,""timestamp"":""2026-09-02T18:59:53Z""}",,,,,,,,62
speed,CAN_VEHICLE_SPEED,HF_HISTORICAL,2026-09-02T18:59:49.863Z,2026-09-02T18:59:58.032Z,2026-09-02T18:59:57.784Z,2026-09-02T18:59:58.032Z,107,0,0,42c94aaaa0a9e0d76b5e8291b395ead747ebade4239ebb253eee82baaa843834,1s,AVG,42c94aaaa0a9e0d76b5e8291b395ead747ebade4239ebb253eee82baaa843834,2026-09-02T18:59:49.863Z,2026-09-02T18:59:57.784Z,2026-09-02T18:59:57.784Z,67
speed,CAN_VEHICLE_SPEED,HF_HISTORICAL,2026-09-02T18:59:50.863Z,2026-09-02T18:59:58.032Z,2026-09-02T18:59:57.784Z,2026-09-02T18:59:58.032Z,112,0,0,f6b7654e27c38dc0ec6bc37332cba8150fe125e3c2c8060304e2c4faab55e80d,1s,AVG,f6b7654e27c38dc0ec6bc37332cba8150fe125e3c2c8060304e2c4faab55e80d,2026-09-02T18:59:49.863Z,2026-09-02T18:59:57.784Z,2026-09-02T18:59:57.784Z,72
