providerField,canonicalKey,acquisitionSurface,providerTimestamp,synqReceivedAt,requestStartedAt,requestCompletedAt,sequenceNumber,numericValue,rawValueJson,physicalSampleFingerprint,requestedInterval,requestedAggregation,aggregateBucketIdentity,hfWindowFrom,hfWindowTo,hfActualQueryTo,acquisitionOrdinal
obdThrottlePosition,CAN_ENGINE_THROTTLE_POSITION,LATEST_LIVE,2026-09-02T17:48:54.000Z,2026-09-02T18:59:15.949Z,2026-09-02T18:59:15.730Z,2026-09-02T18:59:15.949Z,2,10.58823529411765,"{""value"":10.58823529411765,""timestamp"":""2026-09-02T17:48:54Z""}",,,,,,,,2
obdThrottlePosition,CAN_ENGINE_THROTTLE_POSITION,LATEST_LIVE,2026-09-02T17:48:54.000Z,2026-09-02T18:59:22.101Z,2026-09-02T18:59:21.772Z,2026-09-02T18:59:22.101Z,33,10.58823529411765,"{""value"":10.58823529411765,""timestamp"":""2026-09-02T17:48:54Z""}",,,,,,,,13
obdThrottlePosition,CAN_ENGINE_THROTTLE_POSITION,LATEST_LIVE,2026-09-02T17:48:54.000Z,2026-09-02T18:59:28.041Z,2026-09-02T18:59:27.805Z,2026-09-02T18:59:28.041Z,38,10.58823529411765,"{""value"":10.58823529411765,""timestamp"":""2026-09-02T17:48:54Z""}",,,,,,,,18
obdThrottlePosition,CAN_ENGINE_THROTTLE_POSITION,LATEST_LIVE,2026-09-02T17:48:54.000Z,2026-09-02T18:59:34.101Z,2026-09-02T18:59:33.640Z,2026-09-02T18:59:34.101Z,43,10.58823529411765,"{""value"":10.58823529411765,""timestamp"":""2026-09-02T17:48:54Z""}",,,,,,,,23
obdThrottlePosition,CAN_ENGINE_THROTTLE_POSITION,LATEST_LIVE,2026-09-02T17:48:54.000Z,2026-09-02T18:59:39.958Z,2026-09-02T18:59:39.672Z,2026-09-02T18:59:39.958Z,48,10.58823529411765,"{""value"":10.58823529411765,""timestamp"":""2026-09-02T17:48:54Z""}",,,,,,,,28
obdThrottlePosition,CAN_ENGINE_THROTTLE_POSITION,LATEST_LIVE,2026-09-02T17:48:54.000Z,2026-09-02T18:59:45.643Z,2026-09-02T18:59:45.415Z,2026-09-02T18:59:45.643Z,53,10.58823529411765,"{""value"":10.58823529411765,""timestamp"":""2026-09-02T17:48:54Z""}",,,,,,,,33
obdThrottlePosition,CAN_ENGINE_THROTTLE_POSITION,LATEST_LIVE,2026-09-02T18:59:47.000Z,2026-09-02T18:59:51.860Z,2026-09-02T18:59:51.544Z,2026-09-02T18:59:51.860Z,84,12.15686274509804,"{""value"":12.15686274509804,""timestamp"":""2026-09-02T18:59:47Z""}",,,,,,,,44
obdThrottlePosition,CAN_ENGINE_THROTTLE_POSITION,HF_HISTORICAL,2026-09-02T18:59:45.646Z,2026-09-02T18:59:52.125Z,2026-09-02T18:59:51.863Z,2026-09-02T18:59:52.125Z,89,16.07843137254902,16.07843137254902,3909bf2239e58bf4c2341925f7976e76cfe547da4ada1309b02e460f58164107,1s,AVG,3909bf2239e58bf4c2341925f7976e76cfe547da4ada1309b02e460f58164107,2026-09-02T18:59:43.646Z,2026-09-02T18:59:51.863Z,2026-09-02T18:59:51.863Z,49
obdThrottlePosition,CAN_ENGINE_THROTTLE_POSITION,HF_HISTORICAL,2026-09-02T18:59:46.646Z,2026-09-02T18:59:52.125Z,2026-09-02T18:59:51.863Z,2026-09-02T18:59:52.125Z,94,12.15686274509804,12.15686274509804,1569da3e7328da078b42a632603b3640841a6f4d6774de829980e30700a470b0,1s,AVG,1569da3e7328da078b42a632603b3640841a6f4d6774de829980e30700a470b0,2026-09-02T18:59:43.646Z,2026-09-02T18:59:51.863Z,2026-09-02T18:59:51.863Z,54
obdThrottlePosition,CAN_ENGINE_THROTTLE_POSITION,LATEST_LIVE,2026-09-02T18:59:53.000Z,2026-09-02T18:59:57.781Z,2026-09-02T18:59:57.480Z,2026-09-02T18:59:57.781Z,99,11.76470588235294,"{""value"":11.76470588235294,""timestamp"":""2026-09-02T18:59:53Z""}",,,,,,,,59
