providerTimestamp,speedKmh,videoRelativeSecondsProvisional,flags
2026-09-04T03:37:44.122Z,0,-1.878,
2026-09-04T03:37:48.647Z,0,2.647,
2026-09-04T03:37:49.647Z,0,3.647,
2026-09-04T03:37:51.293Z,0,5.293,
2026-09-04T03:37:52.293Z,0,6.293,
2026-09-04T03:37:58.416Z,0,12.416,
2026-09-04T03:38:05.110Z,0,19.11,
2026-09-04T03:38:09.904Z,0,23.904,
2026-09-04T03:38:11.904Z,0,25.904,
2026-09-04T03:38:15.723Z,0,29.723,
2026-09-04T03:38:34.640Z,0,48.64,
2026-09-04T03:38:44.395Z,0,58.395,
2026-09-04T03:39:19.966Z,0,93.966,
2026-09-04T03:39:30.620Z,24,104.62,
2026-09-04T03:39:32.620Z,17,106.62,
2026-09-04T03:39:37.352Z,20,111.352,
2026-09-04T03:39:43.937Z,13,117.937,
2026-09-04T03:39:44.937Z,5,118.937,
2026-09-04T03:39:45.937Z,5,119.937,
2026-09-04T03:39:47.625Z,21,121.625,
2026-09-04T03:40:39.908Z,31,173.908,
2026-09-04T03:40:41.908Z,11,175.908,
2026-09-04T03:40:54.884Z,3,188.884,
2026-09-04T03:41:27.544Z,21,221.544,
2026-09-04T03:42:09.311Z,0,263.311,
2026-09-04T03:42:27.018Z,0,281.018,
2026-09-04T03:42:57.694Z,44,311.694,
2026-09-04T03:43:06.682Z,33,320.682,
2026-09-04T03:43:08.682Z,30,322.682,
2026-09-04T03:43:09.682Z,30,323.682,
2026-09-04T03:43:23.051Z,31,337.051,
2026-09-04T03:43:34.723Z,23,348.723,
2026-09-04T03:43:48.205Z,15,362.205,
2026-09-04T03:43:49.205Z,11,363.205,
2026-09-04T03:43:50.205Z,4,364.205,
2026-09-04T03:43:51.898Z,9,365.898,
2026-09-04T03:43:52.898Z,8,366.898,
2026-09-04T03:43:53.898Z,5,367.898,
